"","High Risk (=1) Vs ED Positive (=2) Vs No Known Risk (=0)","0","1","2","p","test","SMD","sig"
"n","","491","168","135","","","",""
"Data Ref","","401.4 ± 232.2","410.4 ± 235.2","378.4 ± 218.7","0.442","","0.094",""
"FB Hours","","0.7 ± 1.5","0.9 ± 1.4","0.7 ± 1.1","0.312","","0.096",""
"IG Hours","","1.9 ± 1.9","2.2 ± 1.8","2.1 ± 1.8","0.182","","0.104",""
"Snapchat Hours","","2.6 ± 2.4","3.2 ± 2.7","3.6 ± 2.9","<0.001","","0.251","**"
"Twitter Hours","","0.6 ± 1.3","0.7 ± 1.6","0.7 ± 1.5","0.719","","0.050",""
"Other usage","","2.0 ± 2.5","2.5 ± 2.5","2.8 ± 2.9","0.005","","0.207","**"
"Total Hours","","7.9 ± 6.6","9.5 ± 6.5","9.9 ± 5.9","0.001","","0.215","**"
"Avg Hours","","1.6 ± 1.3","1.9 ± 1.3","2.0 ± 1.2","0.001","","0.215","**"
"PHQ 9 score","","6.6 ± 5.6","9.8 ± 6.0","13.1 ± 6.1","<0.001","","0.740","**"
"PHQ-9 (0=none, 1=mild, 2=mod, 3=mod-sev, 4=severe)","","1.0 ± 1.1","1.5 ± 1.1","2.2 ± 1.2","<0.001","","0.704","**"
"GAD 7 score","","7.1 ± 5.8","10.1 ± 5.7","12.2 ± 5.8","<0.001","","0.590","**"
"GAD-7 (0=none, 1=mild, 2=mod, 3=severe) (%)","0","195 ( 41.0)","32 ( 19.8)","12 (  9.2)","<0.001","","0.594","**"
"","1","131 ( 27.5)","43 ( 26.5)","37 ( 28.2)","","","",""
"","2","83 ( 17.4)","47 ( 29.0)","33 ( 25.2)","","","",""
"","3","67 ( 14.1)","40 ( 24.7)","49 ( 37.4)","","","",""
"CDAD Phy","","6.1 ± 6.1","8.2 ± 6.8","9.8 ± 7.7","<0.001","","0.355","**"
"CDAS Psych","","1.3 ± 3.4","2.0 ± 3.6","3.4 ± 5.1","<0.001","","0.330","**"
"CDAS Total","","7.4 ± 8.3","10.1 ± 8.8","13.1 ± 11.6","<0.001","","0.385","**"
"Binge Eating Screen (%)","Negative","491 (100.0)","168 (100.0)","34 ( 25.2)","<0.001","","1.625","**"
"","Positive","0 (  0.0)","0 (  0.0)","101 ( 74.8)","","","",""
"Bulimia Eating Screen (%)","Negative","491 (100.0)","168 (100.0)","62 ( 45.9)","<0.001","","1.023","**"
"","Positive","0 (  0.0)","0 (  0.0)","73 ( 54.1)","","","",""
"Anorexia Eating Screen (%)","Negative","491 (100.0)","168 (100.0)","120 ( 88.9)","<0.001","exact","0.333","**"
"","Positive","0 (  0.0)","0 (  0.0)","15 ( 11.1)","","","",""
